age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,hours.per.week,country,salary,predicted_salary,id
"(54,61]",Private,127014,High School,"(8,9]",With Spouse,Service,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,2351
"(43,54]",Private,189123,<= 12th,"[1,8]",With Spouse,Administration,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,2352
"(29,33]",Other,190027,High School,"(8,9]",Spouseless,Other,Unmarried,Other,Female,<40,US,0,0,2353
"(54,61]",Private,99248,Some-college,"(9,10]",Spouseless,Service,Not-in-family,White or Asian-Pac-Islander,Male,40,US,0,0,2354
"(43,54]",Private,182314,Masters,"(13,16]",With Spouse,Tech and Secutity,Wife or husband,White or Asian-Pac-Islander,Male,40,US,1,0,2355
"(54,61]",Other,208640,High School,"(8,9]",With Spouse,Other,Wife or husband,White or Asian-Pac-Islander,Male,<40,US,1,0,2356
"(37,43]",Private,116493,High School,"(8,9]",Spouseless,Craft-repair,Not-in-family,White or Asian-Pac-Islander,Male,>40,US,1,0,2357
"(43,54]",Private,106113,Some-college,"(9,10]",With Spouse,Exec-managerial,Wife or husband,White or Asian-Pac-Islander,Male,40,US,1,0,2358
"(29,33]",Other,202498,<= 12th,"[1,8]",Spouseless,Other,Not-in-family,White or Asian-Pac-Islander,Male,40,Non-US,0,0,2359
"(61,90]",Self-emp-not-inc,116903,Associate,"(10,12]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,2360
"(37,43]",Local-gov,222596,High School,"(8,9]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,40,US,1,0,2361
"(29,33]",Private,53373,High School,"(8,9]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,<40,US,0,0,2362
"(29,33]",Local-gov,370990,Masters,"(13,16]",Spouseless,Prof-specialty,Not-in-family,White or Asian-Pac-Islander,Female,40,US,0,0,2363
"(25,29]",Private,81648,High School,"(8,9]",With Spouse,Sales,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,0,2364
"(43,54]",Federal-gov,69614,<= 12th,"[1,8]",Spouseless,Craft-repair,Not-in-family,White or Asian-Pac-Islander,Male,>40,US,0,0,2365
"(23,25]",Private,112854,Some-college,"(9,10]",Spouseless,Tech and Secutity,Not-in-family,White or Asian-Pac-Islander,Female,<40,US,0,0,2366
"(43,54]",Federal-gov,224559,High School,"(8,9]",With Spouse,Transport-moving,Wife or husband,Other,Male,40,US,1,0,2367
"(23,25]",Private,357028,Some-college,"(9,10]",Spouseless,Exec-managerial,Child or other relative,White or Asian-Pac-Islander,Male,40,US,0,0,2368
"(35,37]",Local-gov,51158,Some-college,"(9,10]",With Spouse,Tech and Secutity,Wife or husband,White or Asian-Pac-Islander,Female,<40,US,1,0,2369
"(43,54]",Private,127749,High School,"(8,9]",With Spouse,Transport-moving,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,2370
"(23,25]",Private,108658,High School,"(8,9]",Spouseless,Exec-managerial,Not-in-family,White or Asian-Pac-Islander,Male,>40,US,0,0,2371
"(23,25]",Private,34803,Bachelors,"(12,13]",Spouseless,Exec-managerial,Child or other relative,White or Asian-Pac-Islander,Female,<40,US,0,0,2372
"(23,25]",Private,39827,Some-college,"(9,10]",With Spouse,Machine-op-inspct,Wife or husband,Other,Female,40,Non-US,0,0,2373
"(35,37]",Self-emp-not-inc,80324,High School,"(8,9]",With Spouse,Exec-managerial,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,0,2374
"(29,33]",Private,287908,High School,"(8,9]",With Spouse,Machine-op-inspct,Wife or husband,Other,Male,40,US,0,0,2375
"(43,54]",Private,28225,Some-college,"(9,10]",With Spouse,Transport-moving,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,2376
"(37,43]",Self-emp-not-inc,127961,Some-college,"(9,10]",With Spouse,Machine-op-inspct,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,0,2377
"(23,25]",Private,211129,Bachelors,"(12,13]",Spouseless,Sales,Child or other relative,White or Asian-Pac-Islander,Female,<40,US,0,0,2378
"(29,33]",Private,284395,High School,"(8,9]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,2379
"(23,25]",Private,144483,High School,"(8,9]",Spouseless,Exec-managerial,Unmarried,White or Asian-Pac-Islander,Female,40,US,0,0,2380
"(35,37]",Private,133655,High School,"(8,9]",Spouseless,Administration,Unmarried,White or Asian-Pac-Islander,Female,40,US,0,0,2381
"[17,21]",Private,165754,Some-college,"(9,10]",Spouseless,Service,Child or other relative,White or Asian-Pac-Islander,Female,<40,US,0,0,2382
"(37,43]",Private,33331,Some-college,"(9,10]",With Spouse,Transport-moving,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,2383
"(37,43]",Private,168071,High School,"(8,9]",With Spouse,Exec-managerial,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,2384
"(43,54]",Private,207277,Bachelors,"(12,13]",With Spouse,Exec-managerial,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,1,2385
"(25,29]",Private,130620,Some-college,"(9,10]",Spouseless,Sales,Child or other relative,White or Asian-Pac-Islander,Female,<40,Non-US,0,0,2386
"(37,43]",Private,972354,Some-college,"(9,10]",With Spouse,Service,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,2387
"[17,21]",Private,245297,Some-college,"(9,10]",Spouseless,Service,Not-in-family,White or Asian-Pac-Islander,Female,<40,US,0,0,2388
"(29,33]",State-gov,71151,Bachelors,"(12,13]",With Spouse,Tech and Secutity,Wife or husband,White or Asian-Pac-Islander,Male,<40,US,0,0,2389
"[17,21]",Private,117210,High School,"(8,9]",Spouseless,Machine-op-inspct,Child or other relative,White or Asian-Pac-Islander,Male,40,US,0,0,2390
"(43,54]",Private,84451,Associate,"(10,12]",Spouseless,Service,Not-in-family,White or Asian-Pac-Islander,Male,<40,US,0,0,2391
"(43,54]",Private,123011,Some-college,"(9,10]",With Spouse,Sales,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,0,2392
"(54,61]",Private,366324,Some-college,"(9,10]",With Spouse,Service,Wife or husband,White or Asian-Pac-Islander,Female,<40,US,0,0,2393
"(43,54]",Private,165152,High School,"(8,9]",With Spouse,Sales,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,0,2394
"(29,33]",Private,213002,<= 12th,"[1,8]",Spouseless,Sales,Not-in-family,White or Asian-Pac-Islander,Male,>40,US,0,0,2395
"[17,21]",Other,26620,Some-college,"(9,10]",Spouseless,Other,Child or other relative,White or Asian-Pac-Islander,Female,40,US,0,0,2396
"(21,23]",Private,361481,<= 12th,"[1,8]",With Spouse,Service,Wife or husband,White or Asian-Pac-Islander,Male,40,Non-US,0,0,2397
"(54,61]",Private,289364,Some-college,"(9,10]",With Spouse,Exec-managerial,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,0,2398
"[17,21]",Private,174907,High School,"(8,9]",Spouseless,Administration,Child or other relative,White or Asian-Pac-Islander,Female,40,US,0,0,2399
"(29,33]",Other,104965,<= 12th,"[1,8]",Spouseless,Other,Not-in-family,White or Asian-Pac-Islander,Female,<40,US,0,0,2400
"(29,33]",Self-emp-not-inc,286282,Bachelors,"(12,13]",With Spouse,Administration,Wife or husband,White or Asian-Pac-Islander,Female,<40,US,0,0,2401
"(33,35]",Self-emp-not-inc,181705,High School,"(8,9]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,40,US,1,0,2402
"(29,33]",Private,238912,Above Masters,"(13,16]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,1,2403
"(43,54]",Private,47343,Masters,"(13,16]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Male,40,US,1,1,2404
"(37,43]",Private,209547,Bachelors,"(12,13]",With Spouse,Sales,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,1,2405
"(29,33]",Private,142675,Bachelors,"(12,13]",Spouseless,Service,Not-in-family,White or Asian-Pac-Islander,Male,<40,US,0,0,2406
"(29,33]",Private,196396,Some-college,"(9,10]",Spouseless,Machine-op-inspct,Not-in-family,White or Asian-Pac-Islander,Male,40,US,0,0,2407
"(35,37]",Private,118486,Bachelors,"(12,13]",Spouseless,Prof-specialty,Unmarried,White or Asian-Pac-Islander,Female,<40,US,1,0,2408
"(37,43]",Private,144067,Associate,"(10,12]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,2409
"(21,23]",Private,189830,Some-college,"(9,10]",With Spouse,Service,Wife or husband,Other,Male,>40,US,0,0,2410
"[17,21]",Private,127190,High School,"(8,9]",Spouseless,Service,Child or other relative,White or Asian-Pac-Islander,Female,<40,US,0,0,2411
"(43,54]",Other,174147,Some-college,"(9,10]",With Spouse,Other,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,2412
"[17,21]",Private,138107,High School,"(8,9]",Spouseless,Service,Child or other relative,Other,Male,<40,US,0,0,2413
"(21,23]",Private,277328,Some-college,"(9,10]",Spouseless,Service,Child or other relative,White or Asian-Pac-Islander,Male,<40,Non-US,0,0,2414
"(29,33]",Other,123971,<= 12th,"[1,8]",Spouseless,Other,Not-in-family,White or Asian-Pac-Islander,Female,>40,US,0,0,2415
"(25,29]",Private,93662,Some-college,"(9,10]",Spouseless,Prof-specialty,Unmarried,White or Asian-Pac-Islander,Female,<40,US,0,0,2416
"(43,54]",Private,243361,Some-college,"(9,10]",Spouseless,Administration,Unmarried,White or Asian-Pac-Islander,Female,>40,US,0,0,2417
"(43,54]",Private,142717,Above Masters,"(13,16]",Spouseless,Craft-repair,Not-in-family,White or Asian-Pac-Islander,Female,>40,US,1,0,2418
"(29,33]",Private,272944,Some-college,"(9,10]",Spouseless,Craft-repair,Not-in-family,White or Asian-Pac-Islander,Female,40,US,0,0,2419
"(43,54]",Private,190909,High School,"(8,9]",With Spouse,Exec-managerial,Wife or husband,White or Asian-Pac-Islander,Male,40,US,1,0,2420
"(37,43]",Private,191002,High School,"(8,9]",Spouseless,Sales,Not-in-family,White or Asian-Pac-Islander,Female,40,Non-US,0,0,2421
"(37,43]",Private,89073,High School,"(8,9]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,2422
"(37,43]",Federal-gov,238342,Bachelors,"(12,13]",With Spouse,Sales,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,1,2423
"(25,29]",Other,189282,High School,"(8,9]",With Spouse,Other,Not-in-family,White or Asian-Pac-Islander,Female,<40,US,0,0,2424
"(37,43]",Private,132481,Associate,"(10,12]",Spouseless,Prof-specialty,Not-in-family,White or Asian-Pac-Islander,Female,<40,US,0,0,2425
"(29,33]",Private,205659,Associate,"(10,12]",With Spouse,Exec-managerial,Wife or husband,White or Asian-Pac-Islander,Female,>40,Non-US,1,0,2426
"(29,33]",Private,182323,<= 12th,"[1,8]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,2427
"[17,21]",Private,51255,<= 12th,"[1,8]",Spouseless,Service,Child or other relative,White or Asian-Pac-Islander,Male,<40,US,0,0,2428
"(25,29]",State-gov,315640,Masters,"(13,16]",Spouseless,Prof-specialty,Not-in-family,White or Asian-Pac-Islander,Male,<40,Non-US,0,0,2429
"(25,29]",Private,167062,Some-college,"(9,10]",Spouseless,Administration,Unmarried,White or Asian-Pac-Islander,Male,40,US,0,0,2430
"[17,21]",Private,243368,<= 12th,"[1,8]",Spouseless,Agriculture,Not-in-family,White or Asian-Pac-Islander,Male,>40,Non-US,0,0,2431
"(37,43]",Private,316820,Some-college,"(9,10]",With Spouse,Service,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,2432
"(54,61]",Private,185459,Masters,"(13,16]",With Spouse,Sales,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,1,2433
"(29,33]",Private,43716,Associate,"(10,12]",Spouseless,Machine-op-inspct,Unmarried,White or Asian-Pac-Islander,Male,>40,US,0,0,2434
"(29,33]",Private,220939,Associate,"(10,12]",Spouseless,Exec-managerial,Not-in-family,White or Asian-Pac-Islander,Male,40,US,0,0,2435
"(43,54]",Other,148657,<= 12th,"[1,8]",With Spouse,Other,Wife or husband,White or Asian-Pac-Islander,Female,40,Non-US,0,0,2436
"(54,61]",Private,108496,Masters,"(13,16]",With Spouse,Exec-managerial,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,1,2437
"(23,25]",Other,35829,Some-college,"(9,10]",Spouseless,Other,Unmarried,White or Asian-Pac-Islander,Female,>40,US,0,0,2438
"(33,35]",Private,248795,High School,"(8,9]",Spouseless,Machine-op-inspct,Not-in-family,White or Asian-Pac-Islander,Female,>40,US,0,0,2439
"(35,37]",Local-gov,128054,Some-college,"(9,10]",Spouseless,Administration,Unmarried,White or Asian-Pac-Islander,Female,40,US,0,0,2440
"(37,43]",Private,179731,Masters,"(13,16]",With Spouse,Exec-managerial,Wife or husband,White or Asian-Pac-Islander,Female,>40,US,1,1,2441
"(43,54]",Federal-gov,45891,Some-college,"(9,10]",Spouseless,Administration,Unmarried,White or Asian-Pac-Islander,Male,>40,US,0,0,2442
"(29,33]",Private,132996,High School,"(8,9]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,0,2443
"(23,25]",Private,203570,High School,"(8,9]",Spouseless,Service,Unmarried,Other,Male,40,US,0,0,2444
"(37,43]",Private,282964,Bachelors,"(12,13]",Spouseless,Exec-managerial,Unmarried,White or Asian-Pac-Islander,Female,40,US,0,0,2445
"(33,35]",Self-emp-not-inc,312197,High School,"(8,9]",With Spouse,Transport-moving,Wife or husband,White or Asian-Pac-Islander,Male,>40,Non-US,1,0,2446
"(43,54]",Private,98779,<= 12th,"[1,8]",With Spouse,Machine-op-inspct,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,2447
"(33,35]",Private,131552,High School,"(8,9]",Spouseless,Service,Child or other relative,White or Asian-Pac-Islander,Female,40,US,0,0,2448
"[17,21]",Private,389755,High School,"(8,9]",Spouseless,Service,Child or other relative,White or Asian-Pac-Islander,Male,<40,US,0,0,2449
"(33,35]",Private,195136,Bachelors,"(12,13]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Female,40,US,1,0,2450
"(23,25]",Other,196388,Associate,"(10,12]",Spouseless,Other,Not-in-family,White or Asian-Pac-Islander,Male,<40,US,0,0,2451
"(23,25]",Private,50341,Bachelors,"(12,13]",Spouseless,Administration,Not-in-family,White or Asian-Pac-Islander,Female,40,US,0,0,2452
"(43,54]",Private,240231,Bachelors,"(12,13]",With Spouse,Exec-managerial,Wife or husband,White or Asian-Pac-Islander,Male,40,Non-US,1,1,2453
"(33,35]",Self-emp-not-inc,191503,Some-college,"(9,10]",With Spouse,Sales,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,2454
"(25,29]",Private,144259,Bachelors,"(12,13]",With Spouse,Service,Wife or husband,Other,Male,>40,Non-US,1,0,2455
"(54,61]",Private,182028,Associate,"(10,12]",Spouseless,Administration,Not-in-family,White or Asian-Pac-Islander,Female,<40,US,0,0,2456
"(43,54]",Local-gov,221722,Masters,"(13,16]",Spouseless,Exec-managerial,Not-in-family,White or Asian-Pac-Islander,Female,>40,US,1,0,2457
"[17,21]",Other,388811,Some-college,"(9,10]",Spouseless,Other,Child or other relative,White or Asian-Pac-Islander,Female,40,US,0,0,2458
"(43,54]",Private,191256,High School,"(8,9]",With Spouse,Transport-moving,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,0,2459
"(37,43]",Private,242488,Some-college,"(9,10]",With Spouse,Administration,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,2460
"(21,23]",Private,184255,High School,"(8,9]",With Spouse,Sales,Wife or husband,White or Asian-Pac-Islander,Female,40,US,0,0,2461
"(37,43]",Federal-gov,200968,Some-college,"(9,10]",With Spouse,Administration,Child or other relative,White or Asian-Pac-Islander,Male,>40,US,1,0,2462
"(35,37]",Private,105021,Bachelors,"(12,13]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,1,2463
"(54,61]",Private,208415,High School,"(8,9]",Spouseless,Exec-managerial,Not-in-family,Other,Male,40,Non-US,0,0,2464
"(37,43]",Private,356934,Masters,"(13,16]",With Spouse,Exec-managerial,Wife or husband,White or Asian-Pac-Islander,Male,40,US,1,1,2465
"(29,33]",Private,35378,Some-college,"(9,10]",Spouseless,Administration,Not-in-family,White or Asian-Pac-Islander,Female,>40,US,0,0,2466
"(37,43]",Private,444219,High School,"(8,9]",With Spouse,Craft-repair,Wife or husband,Other,Female,>40,US,0,0,2467
"(43,54]",Private,125120,Some-college,"(9,10]",With Spouse,Administration,Wife or husband,White or Asian-Pac-Islander,Female,<40,US,0,0,2468
"(29,33]",Private,433788,Some-college,"(9,10]",With Spouse,Transport-moving,Wife or husband,White or Asian-Pac-Islander,Male,40,US,1,0,2469
"(35,37]",State-gov,103474,High School,"(8,9]",Spouseless,Service,Child or other relative,White or Asian-Pac-Islander,Female,40,US,0,0,2470
"(25,29]",Self-emp-not-inc,233933,<= 12th,"[1,8]",Spouseless,Prof-specialty,Not-in-family,White or Asian-Pac-Islander,Female,<40,US,0,0,2471
"(61,90]",Private,113080,<= 12th,"[1,8]",Spouseless,Craft-repair,Child or other relative,White or Asian-Pac-Islander,Male,40,US,0,0,2472
"(21,23]",Self-emp-inc,40767,Some-college,"(9,10]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,2473
"(37,43]",Local-gov,311914,Some-college,"(9,10]",Spouseless,Administration,Not-in-family,White or Asian-Pac-Islander,Female,40,US,0,0,2474
"(21,23]",Private,91189,Bachelors,"(12,13]",With Spouse,Service,Wife or husband,White or Asian-Pac-Islander,Male,<40,US,0,0,2475
"(43,54]",Federal-gov,344060,Above Masters,"(13,16]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Male,40,US,1,1,2476
"(21,23]",Private,117618,Some-college,"(9,10]",Spouseless,Service,Child or other relative,White or Asian-Pac-Islander,Male,<40,US,0,0,2477
"(37,43]",Private,238008,High School,"(8,9]",Spouseless,Administration,Child or other relative,White or Asian-Pac-Islander,Female,40,US,0,0,2478
"[17,21]",Private,351040,Some-college,"(9,10]",Spouseless,Administration,Child or other relative,White or Asian-Pac-Islander,Female,40,Non-US,0,0,2479
"(33,35]",Private,1226583,Bachelors,"(12,13]",With Spouse,Sales,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,1,2480
"(43,54]",Private,213209,Some-college,"(9,10]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,40,US,1,0,2481
"(43,54]",Private,211005,Some-college,"(9,10]",With Spouse,Machine-op-inspct,Wife or husband,Other,Male,>40,US,0,0,2482
"(23,25]",Private,96178,Bachelors,"(12,13]",Spouseless,Administration,Child or other relative,White or Asian-Pac-Islander,Female,40,US,0,0,2483
"(43,54]",Private,328216,Bachelors,"(12,13]",With Spouse,Exec-managerial,Wife or husband,White or Asian-Pac-Islander,Male,40,US,1,1,2484
"(61,90]",Self-emp-not-inc,39630,High School,"(8,9]",With Spouse,Sales,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,2485
"(35,37]",Private,447346,High School,"(8,9]",With Spouse,Sales,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,0,2486
"[17,21]",Private,181755,High School,"(8,9]",Spouseless,Sales,Not-in-family,White or Asian-Pac-Islander,Male,<40,US,0,0,2487
"(43,54]",Private,504725,<= 12th,"[1,8]",Spouseless,Service,Not-in-family,White or Asian-Pac-Islander,Male,>40,Non-US,0,0,2488
"(35,37]",Private,88967,<= 12th,"[1,8]",Spouseless,Transport-moving,Unmarried,Other,Male,>40,US,0,0,2489
"[17,21]",Private,342752,<= 12th,"[1,8]",Spouseless,Service,Child or other relative,White or Asian-Pac-Islander,Male,<40,US,0,0,2490
"(54,61]",Private,220871,<= 12th,"[1,8]",Spouseless,Machine-op-inspct,Unmarried,Other,Female,40,US,0,0,2491
"(61,90]",Private,29675,High School,"(8,9]",Spouseless,Service,Child or other relative,White or Asian-Pac-Islander,Female,<40,US,0,0,2492
"(43,54]",Federal-gov,183611,Some-college,"(9,10]",Spouseless,Administration,Not-in-family,White or Asian-Pac-Islander,Male,40,US,0,0,2493
"(25,29]",Private,152231,Some-college,"(9,10]",With Spouse,Machine-op-inspct,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,2494
"(25,29]",Private,225142,Some-college,"(9,10]",Spouseless,Craft-repair,Child or other relative,White or Asian-Pac-Islander,Male,40,US,0,0,2495
"(23,25]",Private,134821,High School,"(8,9]",Spouseless,Administration,Child or other relative,White or Asian-Pac-Islander,Female,40,US,0,0,2496
"(43,54]",Private,311350,Bachelors,"(12,13]",With Spouse,Exec-managerial,Wife or husband,White or Asian-Pac-Islander,Male,40,US,1,1,2497
"(25,29]",Private,102106,<= 12th,"[1,8]",With Spouse,Administration,Wife or husband,White or Asian-Pac-Islander,Female,40,US,0,0,2498
"(54,61]",Private,285885,<= 12th,"[1,8]",Spouseless,Service,Unmarried,White or Asian-Pac-Islander,Female,40,US,0,0,2499
"(43,54]",State-gov,123592,High School,"(8,9]",Spouseless,Administration,Unmarried,Other,Female,<40,US,0,0,2500
"(61,90]",Local-gov,237379,High School,"(8,9]",With Spouse,Service,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,2501
"(43,54]",Federal-gov,68985,High School,"(8,9]",With Spouse,Administration,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,2502
"(43,54]",Private,22418,<= 12th,"[1,8]",Spouseless,Transport-moving,Not-in-family,White or Asian-Pac-Islander,Male,>40,US,0,0,2503
"(54,61]",Private,163047,High School,"(8,9]",With Spouse,Exec-managerial,Wife or husband,White or Asian-Pac-Islander,Female,<40,US,0,0,2504
"(37,43]",State-gov,33331,Above Masters,"(13,16]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,1,2505
"(43,54]",Private,73019,Bachelors,"(12,13]",Spouseless,Prof-specialty,Not-in-family,White or Asian-Pac-Islander,Female,40,US,0,0,2506
"(43,54]",Private,169182,High School,"(8,9]",Spouseless,Administration,Unmarried,White or Asian-Pac-Islander,Female,<40,Non-US,0,0,2507
"(54,61]",Private,316849,Some-college,"(9,10]",Spouseless,Service,Not-in-family,White or Asian-Pac-Islander,Male,40,US,0,0,2508
"(54,61]",State-gov,153451,Some-college,"(9,10]",Spouseless,Administration,Not-in-family,White or Asian-Pac-Islander,Female,<40,US,0,0,2509
"(29,33]",Private,209101,High School,"(8,9]",Spouseless,Administration,Not-in-family,White or Asian-Pac-Islander,Male,40,US,0,0,2510
"[17,21]",Private,222490,Some-college,"(9,10]",Spouseless,Service,Child or other relative,White or Asian-Pac-Islander,Female,40,US,0,0,2511
"(54,61]",Private,230292,Some-college,"(9,10]",With Spouse,Administration,Wife or husband,White or Asian-Pac-Islander,Male,40,US,1,0,2512
"(25,29]",Private,120238,Bachelors,"(12,13]",Spouseless,Craft-repair,Not-in-family,White or Asian-Pac-Islander,Male,40,US,0,0,2513
"(33,35]",Private,100375,<= 12th,"[1,8]",Spouseless,Craft-repair,Not-in-family,White or Asian-Pac-Islander,Male,>40,US,0,0,2514
"(29,33]",Self-emp-not-inc,42485,<= 12th,"[1,8]",With Spouse,Exec-managerial,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,2515
"(43,54]",Self-emp-inc,105779,Bachelors,"(12,13]",Spouseless,Sales,Child or other relative,White or Asian-Pac-Islander,Male,40,US,1,0,2516
"(37,43]",Private,187098,Above Masters,"(13,16]",With Spouse,Exec-managerial,Wife or husband,White or Asian-Pac-Islander,Female,>40,US,1,1,2517
"(33,35]",Private,241360,High School,"(8,9]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Male,40,Non-US,0,0,2518
"(61,90]",Private,121319,Bachelors,"(12,13]",With Spouse,Prof-specialty,Wife or husband,White or Asian-Pac-Islander,Male,40,US,1,0,2519
"(25,29]",Private,35917,High School,"(8,9]",With Spouse,Sales,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,2520
"(54,61]",Self-emp-inc,35723,<= 12th,"[1,8]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,1,0,2521
"(43,54]",Self-emp-not-inc,192203,Some-college,"(9,10]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,40,US,1,0,2522
"(43,54]",Private,174370,Some-college,"(9,10]",Spouseless,Sales,Not-in-family,White or Asian-Pac-Islander,Male,>40,US,0,0,2523
"(23,25]",Private,270517,High School,"(8,9]",Spouseless,Service,Child or other relative,White or Asian-Pac-Islander,Female,40,Non-US,0,0,2524
"(61,90]",Private,115364,High School,"(8,9]",Spouseless,Sales,Unmarried,White or Asian-Pac-Islander,Male,<40,US,0,0,2525
"(21,23]",Private,214399,Some-college,"(9,10]",Spouseless,Sales,Child or other relative,White or Asian-Pac-Islander,Female,<40,US,0,0,2526
"(54,61]",Private,156616,High School,"(8,9]",Spouseless,Service,Unmarried,Other,Female,40,US,0,0,2527
"(33,35]",Other,55921,High School,"(8,9]",With Spouse,Other,Wife or husband,White or Asian-Pac-Islander,Male,40,US,0,0,2528
"(23,25]",Private,153082,High School,"(8,9]",Spouseless,Sales,Not-in-family,White or Asian-Pac-Islander,Male,<40,US,0,0,2529
"(43,54]",Local-gov,195418,Masters,"(13,16]",Spouseless,Prof-specialty,Not-in-family,Other,Male,40,US,0,0,2530
"[17,21]",Local-gov,276840,<= 12th,"[1,8]",Spouseless,Service,Child or other relative,Other,Male,<40,US,0,0,2531
"(43,54]",Private,337825,High School,"(8,9]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,2532
"(25,29]",Private,189346,High School,"(8,9]",Spouseless,Service,Child or other relative,White or Asian-Pac-Islander,Male,40,US,0,0,2533
"(61,90]",Private,228921,Bachelors,"(12,13]",Spouseless,Prof-specialty,Not-in-family,White or Asian-Pac-Islander,Male,40,US,1,0,2534
"(37,43]",Private,184846,Some-college,"(9,10]",Spouseless,Administration,Unmarried,White or Asian-Pac-Islander,Female,40,US,0,0,2535
"(61,90]",Local-gov,125768,Some-college,"(9,10]",Spouseless,Administration,Not-in-family,White or Asian-Pac-Islander,Female,<40,US,0,0,2536
"(25,29]",Private,157624,Bachelors,"(12,13]",Spouseless,Administration,Not-in-family,White or Asian-Pac-Islander,Female,40,US,0,0,2537
"(37,43]",Private,313181,High School,"(8,9]",Spouseless,Administration,Child or other relative,Other,Male,<40,US,0,0,2538
"(43,54]",Private,81132,Some-college,"(9,10]",With Spouse,Craft-repair,Child or other relative,White or Asian-Pac-Islander,Male,40,Non-US,0,0,2539
"(23,25]",Private,213412,Bachelors,"(12,13]",Spouseless,Tech and Secutity,Unmarried,White or Asian-Pac-Islander,Male,40,US,0,0,2540
"(54,61]",Private,199763,Some-college,"(9,10]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,2541
"(29,33]",Private,302845,High School,"(8,9]",With Spouse,Exec-managerial,Wife or husband,White or Asian-Pac-Islander,Female,>40,US,0,0,2542
"(37,43]",Private,173968,High School,"(8,9]",With Spouse,Craft-repair,Wife or husband,White or Asian-Pac-Islander,Male,>40,US,0,0,2543
